label,description,selection,n,k,pop_size,max_generations,Pc,Pm,best_run_index,best_fitness,assignment,group_sums
a_base_n10,"Q2-a/b base: n=10, k=5, pop=100, gens=400, Pc=0.8, Pm=0.2",roulette,10,5,100,400,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
p_problem_size_n10,Q2-p: effect of problem size n=10,roulette,10,5,100,400,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
p_problem_size_n20,Q2-p: effect of problem size n=20,roulette,20,8,100,400,0.8,0.2,1,0.14285714285714285,6 5 7 1 3 5 4 7 4 8 | 6 4 2 6 5 2 8 7 1 3,g1: 23; g2: 29; g3: 25; g4: 28; g5: 23; g6: 26; g7: 29; g8: 27
p_problem_size_n40,Q2-p: effect of problem size n=40,roulette,40,12,100,400,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
p_problem_size_n60,Q2-p: effect of problem size n=60,roulette,60,17,100,400,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
t_generations_n10_g50,"Q2-t: effect of generations n=10, gens=50",roulette,10,5,100,50,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
t_generations_n10_g100,"Q2-t: effect of generations n=10, gens=100",roulette,10,5,100,100,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
t_generations_n10_g200,"Q2-t: effect of generations n=10, gens=200",roulette,10,5,100,200,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
t_generations_n10_g300,"Q2-t: effect of generations n=10, gens=300",roulette,10,5,100,300,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
t_generations_n20_g50,"Q2-t: effect of generations n=20, gens=50",roulette,20,8,100,50,0.8,0.2,2,0.07142857142857142,6 2 8 7 6 3 1 2 5 7 | 5 4 7 5 2 6 3 8 4 1,g1: 27; g2: 25; g3: 23; g4: 31; g5: 34; g6: 22; g7: 27; g8: 21
t_generations_n20_g100,"Q2-t: effect of generations n=20, gens=100",roulette,20,8,100,100,0.8,0.2,1,0.125,7 4 6 1 3 6 5 6 3 8 | 7 6 2 7 3 2 8 5 1 4,g1: 23; g2: 29; g3: 29; g4: 22; g5: 25; g6: 29; g7: 26; g8: 27
t_generations_n20_g200,"Q2-t: effect of generations n=20, gens=200",roulette,20,8,100,200,0.8,0.2,1,0.14285714285714285,6 5 7 1 3 5 4 7 4 8 | 6 4 2 6 5 2 8 7 1 3,g1: 23; g2: 29; g3: 25; g4: 28; g5: 23; g6: 26; g7: 29; g8: 27
t_generations_n20_g300,"Q2-t: effect of generations n=20, gens=300",roulette,20,8,100,300,0.8,0.2,1,0.14285714285714285,6 5 7 1 3 5 4 7 4 8 | 6 4 2 6 5 2 8 7 1 3,g1: 23; g2: 29; g3: 25; g4: 28; g5: 23; g6: 26; g7: 29; g8: 27
t_generations_n40_g50,"Q2-t: effect of generations n=40, gens=50",roulette,40,12,100,50,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
t_generations_n40_g100,"Q2-t: effect of generations n=40, gens=100",roulette,40,12,100,100,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
t_generations_n40_g200,"Q2-t: effect of generations n=40, gens=200",roulette,40,12,100,200,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
t_generations_n40_g300,"Q2-t: effect of generations n=40, gens=300",roulette,40,12,100,300,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
t_generations_n60_g50,"Q2-t: effect of generations n=60, gens=50",roulette,60,17,100,50,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
t_generations_n60_g100,"Q2-t: effect of generations n=60, gens=100",roulette,60,17,100,100,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
t_generations_n60_g200,"Q2-t: effect of generations n=60, gens=200",roulette,60,17,100,200,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
t_generations_n60_g300,"Q2-t: effect of generations n=60, gens=300",roulette,60,17,100,300,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
th_pop_n10_p50,"Q2-th: effect of population size n=10, pop=50",roulette,10,5,50,400,0.8,0.2,0,0.25,2 4 2 3 5 2 3 5 4 1,g1: 10; g2: 10; g3: 11; g4: 11; g5: 13
th_pop_n10_p100,"Q2-th: effect of population size n=10, pop=100",roulette,10,5,100,400,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
th_pop_n10_p200,"Q2-th: effect of population size n=10, pop=200",roulette,10,5,200,400,0.8,0.2,0,0.25,5 2 5 4 3 5 4 3 2 1,g1: 10; g2: 11; g3: 13; g4: 11; g5: 10
th_pop_n10_p300,"Q2-th: effect of population size n=10, pop=300",roulette,10,5,300,400,0.8,0.2,0,0.25,1 5 1 4 3 1 4 3 5 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
th_pop_n20_p50,"Q2-th: effect of population size n=20, pop=50",roulette,20,8,50,400,0.8,0.2,3,0.16666666666666666,2 5 7 2 4 6 2 5 1 7 | 3 2 8 3 8 7 1 5 6 4,g1: 26; g2: 24; g3: 25; g4: 25; g5: 28; g6: 25; g7: 29; g8: 28
th_pop_n20_p100,"Q2-th: effect of population size n=20, pop=100",roulette,20,8,100,400,0.8,0.2,1,0.14285714285714285,6 5 7 1 3 5 4 7 4 8 | 6 4 2 6 5 2 8 7 1 3,g1: 23; g2: 29; g3: 25; g4: 28; g5: 23; g6: 26; g7: 29; g8: 27
th_pop_n20_p200,"Q2-th: effect of population size n=20, pop=200",roulette,20,8,200,400,0.8,0.2,3,0.16666666666666666,2 6 2 7 5 6 8 7 4 5 | 1 3 7 5 1 6 3 8 4 2,g1: 26; g2: 24; g3: 29; g4: 28; g5: 29; g6: 24; g7: 25; g8: 25
th_pop_n20_p300,"Q2-th: effect of population size n=20, pop=300",roulette,20,8,300,400,0.8,0.2,0,0.25,8 7 6 1 5 2 1 7 3 6 | 8 6 4 8 4 1 3 7 2 5,g1: 27; g2: 25; g3: 26; g4: 28; g5: 25; g6: 25; g7: 28; g8: 26
th_pop_n40_p50,"Q2-th: effect of population size n=40, pop=50",roulette,40,12,50,400,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
th_pop_n40_p100,"Q2-th: effect of population size n=40, pop=100",roulette,40,12,100,400,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
th_pop_n40_p200,"Q2-th: effect of population size n=40, pop=200",roulette,40,12,200,400,0.8,0.2,1,0.021739130434782608,7 10 1 2 8 7 5 11 4 7 | 4 5 2 7 1 10 7 2 9 4 | 6 5 12 3 5 12 2 5 3 7 | 11 8 4 6 1 9 6 8 10 11,g1: 53; g2: 62; g3: 53; g4: 73; g5: 94; g6: 92; g7: 78; g8: 75; g9: 55; g10: 57; g11: 79; g12: 49
th_pop_n40_p300,"Q2-th: effect of population size n=40, pop=300",roulette,40,12,300,400,0.8,0.2,1,0.030303030303030304,11 4 2 11 5 3 8 3 7 8 | 6 12 1 8 12 5 11 12 7 10 | 4 2 3 5 10 3 1 11 9 6 | 12 2 5 8 4 7 10 9 1 6,g1: 79; g2: 57; g3: 63; g4: 58; g5: 78; g6: 81; g7: 64; g8: 65; g9: 67; g10: 82; g11: 50; g12: 76
th_pop_n60_p50,"Q2-th: effect of population size n=60, pop=50",roulette,60,17,50,400,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
th_pop_n60_p100,"Q2-th: effect of population size n=60, pop=100",roulette,60,17,100,400,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
th_pop_n60_p200,"Q2-th: effect of population size n=60, pop=200",roulette,60,17,200,400,0.8,0.2,0,0.0,4 7 16 11 14 10 6 17 16 15 | 10 1 14 15 5 1 13 13 10 11 | 14 6 6 17 15 11 1 9 7 5 | 16 15 2 17 17 16 4 6 8 17 | 7 8 5 2 15 7 9 3 15 11 | 10 11 6 15 16 10 13 4 17 13,g1: 55; g2: 77; g3: 48; g4: 96; g5: 88; g6: 143; g7: 118; g8: 81; g9: 75; g10: 143; g11: 152; g12: 0; g13: 152; g14: 39; g15: 229; g16: 134; g17: 200
th_pop_n60_p300,"Q2-th: effect of population size n=60, pop=300",roulette,60,17,300,400,0.8,0.2,0,0.0,8 2 9 7 15 9 1 17 2 13 | 10 2 15 12 4 17 16 1 3 5 | 5 13 11 11 9 9 5 12 17 4 | 11 8 13 11 10 6 8 11 16 1 | 1 11 17 17 10 3 12 13 9 9 | 16 11 16 5 6 6 15 13 1 7,g1: 165; g2: 23; g3: 65; g4: 45; g5: 122; g6: 147; g7: 64; g8: 70; g9: 159; g10: 91; g11: 244; g12: 89; g13: 171; g14: 0; g15: 75; g16: 160; g17: 140
j_Pc_n10_Pc0.6,"Q2-j: effect of Pc n=10, Pc=0.6",roulette,10,5,100,400,0.6,0.2,0,0.25,4 3 4 5 2 4 5 2 3 1,g1: 10; g2: 13; g3: 11; g4: 10; g5: 11
j_Pc_n10_Pc0.7,"Q2-j: effect of Pc n=10, Pc=0.7",roulette,10,5,100,400,0.7,0.2,1,0.25,4 3 4 1 2 4 1 2 3 5,g1: 11; g2: 13; g3: 11; g4: 10; g5: 10
j_Pc_n10_Pc0.9,"Q2-j: effect of Pc n=10, Pc=0.9",roulette,10,5,100,400,0.9,0.2,0,0.25,4 1 4 5 2 4 5 2 1 3,g1: 11; g2: 13; g3: 10; g4: 10; g5: 11
j_Pc_n10_Pc1.0,"Q2-j: effect of Pc n=10, Pc=1.0",roulette,10,5,100,400,1.0,0.2,0,0.25,4 1 4 5 3 4 5 3 1 2,g1: 11; g2: 10; g3: 13; g4: 10; g5: 11
j_Pc_n20_Pc0.6,"Q2-j: effect of Pc n=20, Pc=0.6",roulette,20,8,100,400,0.6,0.2,1,0.14285714285714285,8 2 3 4 1 3 6 1 8 2 | 5 7 8 2 1 5 7 3 4 6,g1: 28; g2: 26; g3: 27; g4: 23; g5: 27; g6: 27; g7: 29; g8: 23
j_Pc_n20_Pc0.7,"Q2-j: effect of Pc n=20, Pc=0.7",roulette,20,8,100,400,0.7,0.2,0,0.125,5 2 4 7 1 4 7 6 8 3 | 5 2 8 7 2 5 6 4 3 1,g1: 25; g2: 29; g3: 29; g4: 27; g5: 28; g6: 25; g7: 25; g8: 22
j_Pc_n20_Pc0.9,"Q2-j: effect of Pc n=20, Pc=0.9",roulette,20,8,100,400,0.9,0.2,1,0.14285714285714285,8 5 6 1 4 5 3 6 5 8 | 7 5 2 7 6 2 8 4 1 3,g1: 23; g2: 29; g3: 27; g4: 23; g5: 29; g6: 26; g7: 25; g8: 28
j_Pc_n20_Pc1.0,"Q2-j: effect of Pc n=20, Pc=1.0",roulette,20,8,100,400,1.0,0.2,1,0.125,6 4 6 1 5 6 3 4 3 8 | 7 3 2 7 6 2 8 5 1 4,g1: 23; g2: 29; g3: 28; g4: 30; g5: 23; g6: 25; g7: 25; g8: 27
j_Pc_n40_Pc0.6,"Q2-j: effect of Pc n=40, Pc=0.6",roulette,40,12,100,400,0.6,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
j_Pc_n40_Pc0.7,"Q2-j: effect of Pc n=40, Pc=0.7",roulette,40,12,100,400,0.7,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
j_Pc_n40_Pc0.9,"Q2-j: effect of Pc n=40, Pc=0.9",roulette,40,12,100,400,0.9,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
j_Pc_n40_Pc1.0,"Q2-j: effect of Pc n=40, Pc=1.0",roulette,40,12,100,400,1.0,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
j_Pc_n60_Pc0.6,"Q2-j: effect of Pc n=60, Pc=0.6",roulette,60,17,100,400,0.6,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
j_Pc_n60_Pc0.7,"Q2-j: effect of Pc n=60, Pc=0.7",roulette,60,17,100,400,0.7,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
j_Pc_n60_Pc0.9,"Q2-j: effect of Pc n=60, Pc=0.9",roulette,60,17,100,400,0.9,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
j_Pc_n60_Pc1.0,"Q2-j: effect of Pc n=60, Pc=1.0",roulette,60,17,100,400,1.0,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
ch_Pm_n10_Pm0.05,"Q2-ch: effect of Pm n=10, Pm=0.05",roulette,10,5,100,400,0.8,0.05,3,0.25,1 5 1 4 3 1 4 3 5 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
ch_Pm_n10_Pm0.1,"Q2-ch: effect of Pm n=10, Pm=0.1",roulette,10,5,100,400,0.8,0.1,0,0.25,4 1 4 5 2 4 5 2 1 3,g1: 11; g2: 13; g3: 10; g4: 10; g5: 11
ch_Pm_n10_Pm0.3,"Q2-ch: effect of Pm n=10, Pm=0.3",roulette,10,5,100,400,0.8,0.3,0,0.25,3 2 3 5 4 3 5 4 2 1,g1: 10; g2: 11; g3: 10; g4: 13; g5: 11
ch_Pm_n10_Pm0.5,"Q2-ch: effect of Pm n=10, Pm=0.5",roulette,10,5,100,400,0.8,0.5,0,0.25,3 1 3 5 4 3 5 4 1 2,g1: 11; g2: 10; g3: 10; g4: 13; g5: 11
ch_Pm_n20_Pm0.05,"Q2-ch: effect of Pm n=20, Pm=0.05",roulette,20,8,100,400,0.8,0.05,3,0.1111111111111111,2 5 1 5 3 8 2 7 6 3 | 4 1 6 3 1 4 8 5 7 2,g1: 30; g2: 28; g3: 29; g4: 27; g5: 24; g6: 22; g7: 27; g8: 23
ch_Pm_n20_Pm0.1,"Q2-ch: effect of Pm n=20, Pm=0.1",roulette,20,8,100,400,0.8,0.1,0,0.1111111111111111,2 8 5 2 3 8 2 3 6 3 | 4 2 1 7 4 8 7 1 6 5,g1: 31; g2: 24; g3: 23; g4: 26; g5: 23; g6: 28; g7: 31; g8: 24
ch_Pm_n20_Pm0.3,"Q2-ch: effect of Pm n=20, Pm=0.3",roulette,20,8,100,400,0.8,0.3,1,0.1,2 4 3 2 8 5 7 2 6 8 | 2 3 1 3 7 8 6 1 5 4,g1: 31; g2: 24; g3: 29; g4: 22; g5: 25; g6: 26; g7: 22; g8: 31
ch_Pm_n20_Pm0.5,"Q2-ch: effect of Pm n=20, Pm=0.5",roulette,20,8,100,400,0.8,0.5,3,0.08333333333333333,6 2 1 5 8 1 3 5 6 4 | 7 8 4 7 1 8 6 3 5 2,g1: 24; g2: 22; g3: 25; g4: 23; g5: 31; g6: 27; g7: 25; g8: 33
ch_Pm_n40_Pm0.05,"Q2-ch: effect of Pm n=40, Pm=0.05",roulette,40,12,100,400,0.8,0.05,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
ch_Pm_n40_Pm0.1,"Q2-ch: effect of Pm n=40, Pm=0.1",roulette,40,12,100,400,0.8,0.1,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
ch_Pm_n40_Pm0.3,"Q2-ch: effect of Pm n=40, Pm=0.3",roulette,40,12,100,400,0.8,0.3,0,0.014705882352941176,12 1 8 3 11 8 10 11 5 11 | 9 7 4 11 4 9 2 8 5 1 | 2 12 3 8 3 12 6 10 6 11 | 7 4 1 10 4 8 12 9 1 7,g1: 94; g2: 38; g3: 52; g4: 95; g5: 28; g6: 56; g7: 83; g8: 87; g9: 65; g10: 69; g11: 67; g12: 86
ch_Pm_n40_Pm0.5,"Q2-ch: effect of Pm n=40, Pm=0.5",roulette,40,12,100,400,0.8,0.5,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
ch_Pm_n60_Pm0.05,"Q2-ch: effect of Pm n=60, Pm=0.05",roulette,60,17,100,400,0.8,0.05,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
ch_Pm_n60_Pm0.1,"Q2-ch: effect of Pm n=60, Pm=0.1",roulette,60,17,100,400,0.8,0.1,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
ch_Pm_n60_Pm0.3,"Q2-ch: effect of Pm n=60, Pm=0.3",roulette,60,17,100,400,0.8,0.3,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
ch_Pm_n60_Pm0.5,"Q2-ch: effect of Pm n=60, Pm=0.5",roulette,60,17,100,400,0.8,0.5,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
